detrWeek,Date,Team,Score,Opponent,OpponentScore,HomeorAway
Week 1,09/07/2023,Detroit Lions,21,Kansas City Chiefs,20,Away
Week 2,09/17/2023,Detroit Lions,31,Seattle Seahawks,37,Home
Week 3,09/24/2023,Detroit Lions,20,Atlanta Falcons,6,Home
Week 4,09/28/2023,Detroit Lions,34,Green Bay Packers,20,Away
Week 1,09/10/2023,Tampa Bay Buccaneers,20,Minnesota Vikings,17,Away
Week 2,09/17/2023,Tampa Bay Buccaneers,27,Chicago Bears,17,Home
Week 3,09/25/2023,Tampa Bay Buccaneers,11,Philadelphia Eagles,25,Home
Week 4,10/01/2023,Tampa Bay Buccaneers,26,New Orleans Saints,9,Away
Week 1,09/10/2023,Tennessee Titans,15,New Orleans Saints,16,Away
Week 2,09/17/2023,Tennessee Titans,27,Los Angeles Chargers,24,Home
Week 3,09/24/2023,Tennessee Titans,3,Cleveland Browns,27,Away
Week 4,10/01/2023,Tennessee Titans,27,Cincinnati Bengals,3,Home
Week 1,09/10/2023,Carolina Panthers,10,Atlanta Falcons,24,Away
Week 2,09/18/2023,Carolina Panthers,17,New Orleans Saints,20,Home
Week 3,09/24/2023,Carolina Panthers,27,Seattle Seahawks,37,Away
Week 4,10/01/2023,Carolina Panthers,13,Minnesota Vikings,21,Home
Week 1,09/10/2023,Houston Texans,9,Baltimore Ravens,25,Away
Week 2,09/17/2023,Houston Texans,20,Indianapolis Colts,31,Home
Week 3,09/24/2023,Houston Texans,37,Jacksonville Jaguars,17,Away
Week 4,10/01/2023,Houston Texans,30,Pittsburgh Steelers,6,Home
Week 1,09/10/2023,San Francisco 49ers,30,Pittsburgh Steelers,7,Away
Week 2,09/17/2023,San Francisco 49ers,30,Los Angeles Rams,23,Away
Week 3,09/21/2023,San Francisco 49ers,30,New York Giants,12,Home
Week 4,10/01/2023,San Francisco 49ers,35,Arizona Cardinals,16,Home
Week 1,09/10/2023,Arizona Cardinals,16,Washington Commanders,20,Away
Week 2,09/17/2023,Arizona Cardinals,28,New York Giants,31,Home
Week 3,09/24/2023,Arizona Cardinals,28,Dallas Cowboys,16,Home
Week 4,10/01/2023,Arizona Cardinals,16,San Francisco 49ers,35,Away
